name,version,detected_license,source
"pkg-config","0.3.33","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"png","0.18.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"proc-macro-crate","3.5.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"proc-macro2","1.0.107","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"pxfm","0.1.30","BSD-3-Clause OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"quote","1.0.47","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"r-efi","6.0.0","MIT OR Apache-2.0 OR LGPL-2.1-or-later","registry+https://github.com/rust-lang/crates.io-index"
"redox_syscall","0.5.18","MIT","registry+https://github.com/rust-lang/crates.io-index"
"regex","1.13.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"regex-automata","0.4.16","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"regex-syntax","0.8.11","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rustc_version","0.4.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"rustix","1.1.4","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"rustversion","1.0.23","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"same-file","1.0.6","Unlicense/MIT","registry+https://github.com/rust-lang/crates.io-index"
"scopeguard","1.2.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"semver","1.0.28","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"serde","1.0.229","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"serde_core","1.0.229","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"serde_derive","1.0.229","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"serde_json","1.0.151","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"shlex","2.0.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"signal-hook","0.3.18","Apache-2.0/MIT","registry+https://github.com/rust-lang/crates.io-index"
"signal-hook-mio","0.2.5","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"signal-hook-registry","1.4.8","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"simd_cesu8","1.2.0","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"simd-adler32","0.3.10","MIT","registry+https://github.com/rust-lang/crates.io-index"
"simdutf8","0.1.5","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"slab","0.4.12","MIT","registry+https://github.com/rust-lang/crates.io-index"
"smallvec","1.15.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"strsim","0.11.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"syn","2.0.119","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"syn","3.0.3","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"tempfile","3.27.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"thiserror","1.0.69","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"thiserror","2.0.19","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"thiserror-impl","1.0.69","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"thiserror-impl","2.0.19","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"tinytemplate","1.2.1","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"toml_datetime","1.1.1+spec-1.1.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"toml_edit","0.25.13+spec-1.1.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"toml_parser","1.1.3+spec-1.1.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"unicase","2.9.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"unicode-ident","1.0.24","(MIT OR Apache-2.0) AND Unicode-3.0","registry+https://github.com/rust-lang/crates.io-index"
"unicode-width","0.2.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"walkdir","2.5.0","Unlicense/MIT","registry+https://github.com/rust-lang/crates.io-index"
"wasi","0.11.1+wasi-snapshot-preview1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"wasm-bindgen","0.2.126","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"wasm-bindgen-macro","0.2.126","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"wasm-bindgen-macro-support","0.2.126","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"wasm-bindgen-shared","0.2.126","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"web-sys","0.3.103","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"weezl","0.1.12","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"winapi","0.3.9","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"winapi-i686-pc-windows-gnu","0.4.0","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"winapi-util","0.1.11","Unlicense OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"winapi-x86_64-pc-windows-gnu","0.4.0","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows","0.62.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-collections","0.3.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-core","0.62.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-future","0.3.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-implement","0.60.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-interface","0.59.3","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-link","0.2.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-numerics","0.3.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-result","0.4.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-strings","0.5.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-sys","0.61.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"windows-threading","0.2.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"winnow","1.0.4","MIT","registry+https://github.com/rust-lang/crates.io-index"
"zerocopy","0.8.55","BSD-2-Clause OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"zerocopy-derive","0.8.55","BSD-2-Clause OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"zmij","1.0.23","MIT","registry+https://github.com/rust-lang/crates.io-index"
"zune-core","0.5.1","MIT OR Apache-2.0 OR Zlib","registry+https://github.com/rust-lang/crates.io-index"
"zune-jpeg","0.5.15","MIT OR Apache-2.0 OR Zlib","registry+https://github.com/rust-lang/crates.io-index"
